Customer,Name,Hour,Queries,Total Runtime,Average Runtime
KYLIFSK,KYLIFSK_Viewer,16,1437,7405.9977,6.401035177182368
KYLIFSK,KYLIFSK_Viewer,15,1840,7319.4263,5.639003312788906
KYLIFSK,KYLIFSK_Viewer,20,1517,5637.9268,5.374572735938989
KYLIFSK,KYLIFSK_Viewer,19,1319,4513.0452,4.847524382384532
KYLIFSK,KYLIFSK_Viewer,13,1014,4248.5952,5.112629602888086
OHCOMHA,OHCOMHA_Writer,21,187,118.0144,0.6310930481283422
OHCOMHA,OHCOMHA_Writer,14,43,85.0705,2.025488095238095
OHCOMHA,OHCOMHA_Writer,15,247,84.5162,0.3478032921810699
OHCOMHA,OHCOMHA_Writer,20,53,66.7839,1.4518239130434782
OHCOMHA,OHCOMHA_Writer,13,30,32.0919,1.1066172413793105
PALARCHE,PALARCHE_Writer,16,44,172.1576,4.00366511627907
PALARCHE,PALARCHE_Writer,12,29,153.9637,9.62273125
PALARCHE,PALARCHE_Writer,15,17,35.6798,2.3786533333333333
PALARCHE,PALARCHE_Writer,14,10,23.5507,2.35507
PALARCHE,PALARCHE_Writer,13,3,9.2076,3.0692
AKXPIOH,AKXPIOH_Viewer,18,762,2226.867,3.512408517350158
AKXPIOH,AKXPIOH_Viewer,22,318,1884.5231,6.409942517006803
AKXPIOH,AKXPIOH_Viewer,19,382,1220.6868,4.455061313868613
AKXPIOH,AKXPIOH_Viewer,20,435,1059.4098,4.306543902439024
AKXPIOH,AKXPIOH_Viewer,17,202,593.7724,3.3546463276836156
ALVOASE,ALVOASE_Viewer,15,58,136.2961,3.028802222222222
ALVOASE,ALVOASE_Viewer,14,16,57.9045,3.61903125
ALVOASE,ALVOASE_Writer,15,11,34.3031,3.118463636363636
ALVOASE,ALVOASE_Viewer,17,10,33.1211,3.3121099999999997
ALVOASE,ALVOASE_Viewer,18,5,19.8594,3.97188
WALIFLN,WALIFLN_Viewer,18,122,593.2585,4.8627745901639345
WALIFLN,WALIFLN_Viewer,20,116,556.1218,4.794153448275862
WALIFLN,WALIFLN_Viewer,21,65,287.8724,4.719219672131148
WALIFLN,WALIFLN_Viewer,15,82,283.9527,4.056467142857143
WALIFLN,WALIFLN_Viewer,23,58,279.5034,4.819024137931034
CHRYSALIS,CHRYSALIS_Viewer,13,128,151.6177,1.89522125
CHRYSALIS,CHRYSALIS_Writer,19,51,130.3661,2.660532653061224
CHRYSALIS,CHRYSALIS_Writer,16,80,102.4441,1.296760759493671
CHRYSALIS,CHRYSALIS_Writer,13,32,90.2877,3.9255521739130437
CHRYSALIS,CHRYSALIS_Viewer,18,34,81.5603,2.8124241379310346
CMBRLD,CMBRLD_Writer,13,3551,9329.2976,8.927557511961723
CMBRLD,CMBRLD_Writer,16,406,786.2205,3.8730073891625616
CMBRLD,CMBRLD_Writer,14,221,719.6525,3.4765821256038647
CMBRLD,CMBRLD_Writer,18,328,582.1199,2.881781683168317
CMBRLD,CMBRLD_Writer,19,388,480.9464,2.5049291666666664
AKTANANA,AKTANANA_Writer,17,909,6384.3746,11.142015008726004
AKTANANA,AKTANANA_Writer,12,435,5471.9681,27.223721890547264
AKTANANA,AKTANANA_Writer,14,739,4120.3295,8.674377894736843
AKTANANA,AKTANANA_Writer,18,753,3152.3643,6.004503428571429
AKTANANA,AKTANANA_Writer,13,341,2282.7688,9.058606349206348
LAAAHSD,LAAAHSD_Writer,23,505,1925.5235,3.8129178217821784
LAAAHSD,LAAAHSD_Viewer,20,715,1602.3387,3.023280566037736
LAAAHSD,LAAAHSD_Viewer,16,281,1520.7705,5.5705879120879125
LAAAHSD,LAAAHSD_Viewer,19,562,1343.8852,2.8776985010706637
LAAAHSD,LAAAHSD_Viewer,13,578,1294.1124,3.7729224489795916
MAGADRA,MAGADRA_Viewer,15,48,534.1238,11.127579166666665
MAGADRA,MAGADRA_Viewer,18,25,293.3307,11.733227999999999
MAGADRA,MAGADRA_Viewer,16,11,128.4487,11.677154545454545
MAGADRA,MAGADRA_Viewer,13,5,28.9574,5.79148
OHCCHOO,OHCCHOO_Viewer,13,18,89.5364,4.9742444444444445
OHCCHOO,OHCCHOO_Viewer,0,4,27.0462,6.76155
AKKANA,AKKANA_Writer,21,194,231.1129,2.6873593023255813
AKKANA,AKKANA_Writer,20,76,113.5956,2.9893578947368424
AKKANA,AKKANA_Writer,14,19,51.0469,2.686678947368421
AKKANA,AKKANA_Viewer,18,2,1.2921,0.64605
AKKANA,AKKANA_Viewer,19,1,0.7452,0.7452
ALNAMHC,ALNAMHC_Writer,13,351,3592.5305,15.287363829787234
ALNAMHC,ALNAMHC_Writer,11,739,3221.1831,6.853581063829788
ALNAMHC,ALNAMHC_Viewer,20,717,2625.7682,4.29047091503268
ALNAMHC,ALNAMHC_Viewer,21,620,2365.7692,5.268973719376392
ALNAMHC,ALNAMHC_Viewer,13,935,2260.4153,3.3192588839941264
ILSRTCN,ILSRTCN_Viewer,18,40,89.8317,2.99439
ILSRTCN,ILSRTCN_Viewer,13,34,74.4415,2.2558030303030305
ILSRTCN,ILSRTCN_Viewer,15,31,56.5632,2.1755076923076926
ILSRTCN,ILSRTCN_Viewer,23,16,26.4217,1.65135625
ILSRTCN,ILSRTCN_Viewer,22,4,18.6254,4.65635
MASMDOC,MASMDOC_Viewer,18,188,728.3599,4.091909550561798
MASMDOC,MASMDOC_Viewer,19,255,727.9779,4.257180701754386
MASMDOC,MASMDOC_Viewer,15,48,140.0158,4.37549375
MASMDOC,MASMDOC_Viewer,8,7,128.5472,18.363885714285715
MASMDOC,MASMDOC_Viewer,16,19,57.4314,3.0227052631578943
OHCCC,OHCCC_Viewer,19,348,836.4276,3.144464661654135
OHCCC,OHCCC_Viewer,20,176,597.4294,3.930456578947368
